"AY","ID","TOTAL_AID","TOTAL_FED_AID","TOTAL_STATE_AID","TOTAL_NONFED_STATE_AID","ZELL_RECIPIENT","HOPE_RECIPIENT","TOTAL_FED_LOAN","TOTAL_ST_LOAN","TOTAL_ALT_LOAN","TOTAL_NON_SELF_HELP_AID","RESOURCES","AWARD_BUDGET","AWARD_EFC","NEED","PRIMARY_EFC","UNMET_NEED","REMAINING_NEED","Rural_vs_Urban","FAFSA_ON_FILE","ISIR_FIRST_GEN","PARS_AGI","PARS_CASH_SAVINGS_CHECKING","PARS_INV_NET_WORTH","PARS_BUSINESS_INV_FARM","RCRAPP3_PAR_TAX_DEF_PENSION","RCRAPP3_PAR_IRA_KEOUGH","RCRAPP1_PAR_CHILD_SUPP","RCRAPP3_PAR_TE_INT_INC","RCRAPP1_PAR_IRA_DISTRIBUTIONS","RCRAPP1_PAR_UNTAX_PENSIONS","RCRAPP3_PAR_HOUSE_FOOD_OTH","RCRAPP1_PAR_VETS_NON_ED_BEN","RCRAPP1_PAR_OTH_UNTAX_INC","RCRAPP3_TAX_DEF_PENSION","RCRAPP4_IRA_KEOGH_AMT","RCRAPP1_CHILD_SUPP","RCRAPP3_TE_INT_INC","RCRAPP1_IRA_DISTRIBUTIONS","RCRAPP1_UNTAX_PENSIONS","RCRAPP3_HOUSE_FOOD_OTH","RCRAPP1_VETS_NON_ED_BEN","RCRAPP1_OTH_UNTAX_INC","RCRAPP1_OTH_NON_REPORT_MONEY","STUS_AGI","STUS_CASH_SAVINGS_CHECK","STUS_INV_NET_WORTH","STUS_BUSINESS_INV_FARM","PELL_GRANT_ELIGIBILITY_FLAG","AUTOMATIC_ZERO_EFC_INDICATOR","SIMPLIFIED_NEEDS_TEST_SNT","BLACK_OR_AFRICAN_AMERICAN","AMERICAN_INDIAN_ALASKA_NATIVE","ASIAN_INC_INDIAN_SUBCONT","NATIVE_HAWAIIAN_PACIFIC_ISL","WHITE_INC_MIDDLE_EASTERN","NO_RESPONSE","MINORITY","level","DEPARTMENT","COLLEGE","FALL_HOURS_REGISTRAR","SPRING_HOURS_REGISTRAR","SUMMER_HOURS_REGISTRAR","ENROLLED_IN_AY_REGISTRAR","ADMISSIONS_MATRIC_TERM","ADMISSIONS_STUDENT_TYPE","ADMISSIONS_APPLICATION_TYPE","DEPENDENCY_STATUS","FAMILY_AGI","FAMILY_CASH_SAVINGS_CHECK","FAMILY_INV_NET_WORTH","FAMILY_BUSINESS_INV_FARM","FAMILY_UNTAXED_INCOME","GRADUATED","GRADUATED_IN_FOUR","LOST_HOPE_ZELL","FLAGGED_SAP","ENROLLED_LAST_TERM"
"1415","",28152.52,2538,9448,16166.52,"zell_y","hope_n",2538,0,0,25614.52,0,25699,66540,0,66351,"0","0","Mostly Urban","fafsa_y","1stgen_n",232365,5942,0,487500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3014,58,0,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","Computer Science","College of Arts and Sciences",16,14,3,"enrolleday_y","201408","Freshman","Early Action Applicant","D",235379,6000,0,487500,0,"graduated_y","grad_in_four_n","lost_hope_zell_n","flagged_sap_y","enrolled_last_term_n"
"1415","",7934,0,7684,250,"zell_n","hope_y",0,0,0,7934,0,25858,44341,0,44152,"0","0","Mostly Urban","fafsa_y","1stgen_n",84737,4000,0,0,0,0,45000,0,0,0,0,0,0,0,,0,,,,0,0,0,0,,2000,50000,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","College of Arts and Sciences","College of Arts and Sciences",14,14,5,"enrolleday_y","201408","Freshman","Regular Decision Applicant","D",84737,6000,50000,0,45000,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",5424,0,5424,0,"zell_n","hope_y",0,0,0,5424,0,22680,24633,0,24633,"0","0","Mostly Urban","fafsa_y","1stgen_n",108142,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7123,300,10000,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","Marketing","College of Business",12,12,0,"enrolleday_y","201408","Transfer","Transfer Applicant","D",115265,15300,10000,0,0,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",20220,6730,8590,4000,"zell_y","hope_n",0,0,0,20220,0,22680,0,22680,0,"2460","2460","Mostly Rural","fafsa_y","1stgen_n",28996,3000,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,,11000,0,0,"pell_elig_y","auto_zero_n","snt_y",,,,,1,,"minority_n","Undergrad","Finance","College of Business",13,13,0,"enrolleday_y","201408","Freshman","Regular Decision Applicant","D",28996,14000,0,0,0,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",26414.52,0,9448,16966.52,"zell_y","hope_n",0,0,0,26414.52,0,25633,127908,0,127719,"0","0","Mostly Urban","fafsa_y","1stgen_n",261592,250000,716113,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,,1577,6500,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","Anthropology","College of Arts and Sciences",15,16,3,"enrolleday_y","201408","Freshman","Early Action Applicant","D",261592,251577,722613,0,0,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_y","enrolled_last_term_n"
"1415","",9590,0,8590,1000,"zell_y","hope_n",0,0,0,9590,0,22680,63517,0,63517,"0","0","Mostly Urban","fafsa_y","1stgen_n",112119,9900,155000,0,0,0,0,0,47500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6900,32200,0,"pell_elig_n","auto_zero_n","snt_n",,,1,,1,,"minority_y","Undergrad","Management Information Systems","College of Business",14,13,0,"enrolleday_y","201408","Freshman","Early Action Applicant","D",112119,16800,187200,0,47500,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",11590,0,8590,3000,"zell_y","hope_n",0,0,0,11590,0,22680,12212,10468,12212,"0","0","Mostly Urban","fafsa_y","1stgen_n",78798,2200,0,0,6000,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1039,1020,0,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","Biological Sciences","College of Arts and Sciences",16,17,0,"enrolleday_y","201408","Freshman","Regular Decision Applicant","D",79837,3220,0,0,6000,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",19812,12710,6102,1000,"zell_n","hope_y",12710,0,0,7102,0,23172,19139,4033,19139,"0","0","Mostly Urban","fafsa_y","1stgen_n",97431,4547,19163,0,7678,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,,0,0,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_y","Undergrad","Management","College of Business",9,13,0,"enrolleday_y","201408","Freshman","Regular Decision Applicant","D",97431,4547,19163,0,7678,"graduated_y","grad_in_four_n","lost_hope_zell_y","flagged_sap_y","enrolled_last_term_n"
"1415","",14090,5500,8590,0,"zell_y","hope_n",5500,0,0,8590,0,22746,27614,0,27614,"0","0","Mostly Urban","fafsa_y","1stgen_n",194825,16500,150000,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,,50,2500,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","Kinesiology","College of Education",13,16,0,"enrolleday_y","201408","Freshman","Early Action Applicant","D",194825,16550,152500,0,0,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",21843,18453,0,3390,"zell_n","hope_n",14156,0,3390,4297,0,23276,0,23276,0,"18979","1433","Mostly Rural","fafsa_y","1stgen_n",12567,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5120,500,0,0,"pell_elig_y","auto_zero_y","snt_y",,,,,1,,"minority_n","Undergrad","Political Science","School of Pub and Intl Aff",0,16,0,"enrolleday_y","201408","Transfer","Transfer Applicant","D",17687,650,0,0,0,"graduated_n","grad_in_four_n","lost_hope_zell_y","flagged_sap_y","enrolled_last_term_n"
"1415","",21011,9580,11431,0,"zell_y","hope_n",5500,2841,0,12670,50,22746,1685,21061,1685,"8341","0","Mostly Urban","fafsa_y","1stgen_n",61420,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3520,200,0,0,"pell_elig_y","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","College of Journ-Mass Comm","College of Jour and Mass Comm",13,14,0,"enrolleday_y","201408","Freshman","Early Action Applicant","D",64940,2300,0,0,0,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",14768,4500,9268,1000,"zell_y","hope_y",4500,0,0,10268,0,26991,12983,14008,12795,"3740","0","Mostly Urban","fafsa_y","1stgen_n",111000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,100,0,0,"pell_elig_n","auto_zero_n","snt_n",1,,,,,,"minority_y","Undergrad","College of Journ-Mass Comm","College of Jour and Mass Comm",13,13,3,"enrolleday_y","201408","Freshman","Early Action Applicant","D",115000,100,0,0,0,"graduated_y","grad_in_four_n","lost_hope_zell_y","flagged_sap_n","enrolled_last_term_n"
"1415","",20638,14536,6102,0,"zell_n","hope_y",8956,0,0,11682,0,21316,129,21187,129,"9505","549","Mostly Urban","fafsa_y","1stgen_y",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,11328,85,0,0,"pell_elig_y","auto_zero_n","snt_y",1,,,,,,"minority_y","Undergrad","Biological Sciences","College of Arts and Sciences",6,14,0,"enrolleday_y","201408","Transfer","Transfer Applicant","I",11328,85,0,0,0,"graduated_n","grad_in_four_n","lost_hope_zell_y","flagged_sap_y","enrolled_last_term_n"
